"title","subtitle","title_kana","artist","artist_kana","request_number","lyrics_start","original_key","remarks1","remarks1_kana","remarks2","remarks2_kana","model_code","genre_code","type_code","release_year","parent_song_id","artist_id","lite"
"2億4千万の瞳‐ｴｷｿﾞﾁｯｸ･ｼﾞｬﾊﾟﾝ-","サブタイトルサブタイトルサブタイトルサブタイトル","ﾆｵｸﾖﾝｾﾝﾏﾝﾉﾋﾄﾐ","郷ひろみ","ｺﾞｳﾋﾛﾐ","8300-01","見つめ合う視線の","-","nan","てすと","nan","nan","830","01","01","2020","S19957","A84158","0"
"3年目の浮気","サブタイトルサブタイトルサブタイトルサブタイトル","ｻﾝﾈﾝﾒﾉｳﾜｷ","ヒロシ＆キーボー","ﾋﾛｼｱﾝﾄﾞｷｰﾎﾞｰ","8300-02","馬鹿いってんじゃないよ","-","nan","nan","初音ミク","nan","830","01","01","2020","S78738","A64930","0"
"15の夜","サブタイトルサブタイトルサブタイトルサブタイトル","ｼﾞｭｳｺﾞﾉﾖﾙ","尾崎豊","ｵｻﾞｷﾕﾀｶ","8300-03","落書きの教科書と","-","アニメ番組","あにめばんぐみ","nan","nan","830","01","01","2020","S78738","A64930","0"
"A・RA・SHI","サブタイトルサブタイトルサブタイトルサブタイトル","ｱﾗｼ","嵐","ｱﾗｼ","8300-04","はじけりゃYea!","-","nan","nan","nan","nan","830","01","01","2020","S22825","A88855","0"
"AmazingGrace","サブタイトルサブタイトルサブタイトルサブタイトル","ｱﾒｲｼﾞﾝｸﾞｸﾞﾚｲｽ","讃美歌","ｻﾝﾋﾞｶ","8300-05","Amazing grace","-","nan","nan","VOCALOID","nan","830","01","01","2020","S37325","A83641","0"
"BE MY BABY","サブタイトルサブタイトルサブタイトルサブタイトル","ﾋﾞｰﾏｲﾍﾞｲﾋﾞｰ","COMPLEX","ｺﾝﾌﾟﾚｯｸｽ","8300-06","愛しているのさ","-","nan","nan","nan","nan","830","01","01","2020","S37325","A83641","0"
"BOY MEETS GIRL","サブタイトルサブタイトルサブタイトルサブタイトル","ﾎﾞｰｲﾐｰﾂｶﾞｰﾙ","TRF","ﾃｨｰｱﾙｴﾌ","8300-07","Boy Meets Girl","-","nan","nan","nan","nan","830","01","01","2020","S35286","A49330","0"
"CAN YOU CELEBRATE？","サブタイトルサブタイトルサブタイトルサブタイトル","ｷｬﾝﾕｰｾﾚﾌﾞﾚｲﾄ","安室奈美恵","ｱﾑﾛﾅﾐｴ","8300-08","Can you celebrate","-","nan","nan","nan","nan","830","01","01","2020","S43696","A89877","0"
"Can You Keep A Secret？","サブタイトルサブタイトルサブタイトルサブタイトル","ｷｬﾝﾕｰｷｰﾌﾟｱｼｰｸﾚｯﾄ","宇多田ヒカル","ｳﾀﾀﾞﾋｶﾙ","8300-09","近づきたいよ君の理想に","-","nan","nan","nan","nan","830","01","01","2020","S51756","A11593","0"
"C-Girl","サブタイトルサブタイトルサブタイトルサブタイトル","ｼｰｶﾞｰﾙ","浅香唯","ｱｻｶﾕｲ","8300-10","接吻じらして誘った","-","nan","nan","nan","nan","830","01","01","2020","S59211","A65251","0"
